epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1169.19,0.55085,0.33816,1.04371,0.99891,1,0.995,0.88654,0.54147,0.30376,0.79493,0.00133472,0.00133472,0.00133472
170,1175.63,0.53384,0.32951,1.01779,0.9989,1,0.995,0.88174,0.55692,0.27961,0.81554,0.00133076,0.00133076,0.00133076
171,1182.08,0.48692,0.33777,1.00909,0.99891,1,0.995,0.91179,0.49143,0.26335,0.73372,0.0013268,0.0013268,0.0013268
172,1188.52,0.45722,0.30538,0.98254,0.99889,1,0.995,0.88517,0.55304,0.25747,0.77881,0.00132284,0.00132284,0.00132284
173,1194.98,0.50102,0.33057,1.0032,0.99891,1,0.995,0.90925,0.46559,0.2333,0.71152,0.00131888,0.00131888,0.00131888
174,1201.45,0.50868,0.29896,0.99201,0.99883,1,0.995,0.91215,0.47225,0.28188,0.71258,0.00131492,0.00131492,0.00131492
175,1207.88,0.4862,0.31111,0.99678,0.99884,1,0.995,0.93177,0.45765,0.28416,0.70432,0.00131096,0.00131096,0.00131096
176,1214.3,0.50229,0.3042,1.0129,0.9988,1,0.995,0.88488,0.59209,0.32393,0.75091,0.001307,0.001307,0.001307
177,1220.94,0.4922,0.29644,1.00328,0.99881,1,0.995,0.83272,0.75004,0.39017,0.83841,0.00130304,0.00130304,0.00130304
178,1229.78,0.49626,0.31099,1.00796,0.99884,1,0.995,0.86245,0.63157,0.33755,0.79409,0.00129908,0.00129908,0.00129908
179,1238.51,0.52356,0.31232,1.00895,0.99885,1,0.995,0.90899,0.48433,0.26741,0.7273,0.00129512,0.00129512,0.00129512
180,1252.63,0.51692,0.31244,1.00696,0.9988,1,0.995,0.86581,0.64275,0.37514,0.85408,0.00129116,0.00129116,0.00129116
181,1259.5,0.49294,0.32333,1.01068,0.99884,1,0.995,0.90759,0.53706,0.32087,0.8032,0.0012872,0.0012872,0.0012872
182,1266.32,0.52858,0.33867,1.00288,0.97037,1,0.995,0.88392,0.77378,0.44918,0.93139,0.00128324,0.00128324,0.00128324
183,1273.27,0.51097,0.31325,0.99757,0.99891,1,0.995,0.92864,0.51821,0.30843,0.77012,0.00127928,0.00127928,0.00127928
184,1281.87,0.51836,0.32311,1.0189,0.99896,1,0.995,0.86805,0.68458,0.32483,0.89808,0.00127532,0.00127532,0.00127532
185,1290.2,0.54254,0.30939,0.98561,0.99917,1,0.995,0.91632,0.59116,0.33308,0.88207,0.00127136,0.00127136,0.00127136
186,1298.81,0.5391,0.32548,1.02998,0.99877,0.98,0.99461,0.90203,0.52347,0.30157,0.81276,0.0012674,0.0012674,0.0012674
187,1308.32,0.4893,0.30555,1.00609,1,0.99907,0.995,0.888,0.52225,0.2776,0.80094,0.00126344,0.00126344,0.00126344
188,1316.81,0.51656,0.31786,1.00197,0.9988,1,0.995,0.87196,0.55358,0.31076,0.77569,0.00125948,0.00125948,0.00125948
189,1325.71,0.48161,0.31873,1.00445,0.99884,1,0.995,0.84334,0.70335,0.3437,0.86949,0.00125552,0.00125552,0.00125552
190,1334.6,0.50458,0.33097,1.01039,0.99882,1,0.995,0.86251,0.63233,0.33207,0.85518,0.00125156,0.00125156,0.00125156
191,1344.02,0.47368,0.31371,0.99967,0.99894,1,0.995,0.86435,0.6915,0.35079,0.90393,0.0012476,0.0012476,0.0012476
192,1353.46,0.48801,0.30349,0.99428,0.99884,1,0.995,0.89917,0.56165,0.31658,0.78372,0.00124364,0.00124364,0.00124364
